date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2022-12-04,70,87,45,78,99,48,81,17,28680,30540,1860,3240,20880,4560,57,94,480,15300,2022-12-04T01:56:02+02:00,2022-12-04T10:25:02+02:00,68.13,60.0,44,0.26,0.4,18.125,99,100,100,100,100,99,385,2257,8109,7600,17340,51060,15300,2460,240,0,1.375,0,69,51,89,66,76,82,80,69,29
2022-12-05,81,85,39,99,93,59,91,100,27060,30300,3240,2640,16200,8220,40,89,690,15090,2022-12-04T20:11:27+02:00,2022-12-05T04:36:27+02:00,64.16,60.0,51,0.06,0.33,18.125,98,86,100,100,100,100,1420,3463,25953,29235,27660,22080,20220,15480,960,0,2.15625,0,84,79,82,100,79,100,80,75,100
2022-12-06,79,90,45,97,98,56,78,78,29460,31680,2220,3300,19230,6930,48,93,450,16050,2022-12-05T23:15:02+02:00,2022-12-06T08:03:02+02:00,63.42,59.0,53,0.02,0.22,18.125,100,97,100,100,100,100,725,2698,16238,14986,21120,33120,19860,7140,240,4920,1.65625,0,74,74,79,12,58,100,90,82,100
2022-12-07,85,96,58,100,99,61,89,80,30150,32040,1890,3870,16830,9450,43,94,660,16200,2022-12-06T23:09:29+02:00,2022-12-07T08:03:29+02:00,62.78,56.0,53,-0.26,0.05,17.875,95,77,100,95,100,100,364,2305,7728,6899,31380,34680,15000,2160,180,3000,1.40625,0,77,89,78,81,55,96,99,86,24
2022-12-08,73,72,53,84,67,56,86,100,24870,31800,6930,3810,16170,4890,47,78,1170,17820,2022-12-07T21:47:02+02:00,2022-12-08T06:37:02+02:00,65.27,57.0,50,-0.01,0.01,17.25,96,71,100,100,100,100,454,2449,9250,8620,33840,28920,20700,2640,300,0,1.53125,0,79,59,70,95,61,100,100,86,89
2022-12-09,86,100,96,100,99,61,81,37,38640,41160,2520,7320,21810,9510,37,94,480,20790,2022-12-08T23:18:00+02:00,2022-12-09T10:44:00+02:00,61.8,54.0,58,-0.02,0.03,17.5,95,76,95,95,100,100,352,2269,7454,7217,32760,35640,15960,1980,60,0,1.40625,1,81,93,80,84,65,100,90,89,56
2022-12-10,70,66,57,96,93,55,89,53,23400,26160,2760,4110,13200,6090,45,89,1110,13200,2022-12-10T00:53:02+02:00,2022-12-10T08:09:02+02:00,61.35,54.0,54,-0.07,0.04,17.25,95,79,95,95,100,98,413,2327,8090,8758,30000,36540,15960,2640,0,1260,1.4375,1,74,52,70,96,69,100,91,90,53
2022-12-12,89,97,71,98,98,77,89,80,31650,33900,2250,5100,18780,7770,41,93,1140,16950,2022-12-11T22:56:29+02:00,2022-12-12T08:21:29+02:00,61.42,57.0,60,-0.22,-0.03,17,91,84,100,78,96,97,280,2153,5882,5596,27900,43440,12780,1860,60,360,1.3125,0,86,100,72,65,79,97,100,93,100
2022-12-13,78,99,94,84,88,57,21,64,32100,36780,4680,6720,20460,4920,44,87,2820,19410,2022-12-12T22:47:33+02:00,2022-12-13T09:00:33+02:00,61.47,56.0,57,0.04,0.0,17.625,93,94,100,78,96,98,581,2537,12565,11931,24120,36660,19740,5100,120,660,1.5625,0,85,72,75,100,86,100,100,94,78
2022-12-14,83,100,96,96,93,47,78,48,35820,40080,4260,7440,22050,6330,51,89,420,20130,2022-12-13T23:07:31+02:00,2022-12-14T10:15:31+02:00,68.73,59.0,39,-0.21,-0.03,17,96,81,100,95,100,98,418,2334,7654,8603,30360,36540,12000,3780,120,3600,1.4375,0,82,85,82,90,83,98,84,90,53
2022-12-15,72,62,78,96,79,61,89,65,21540,26160,4620,5190,11040,5310,39,82,1140,13380,2022-12-15T00:25:10+02:00,2022-12-15T07:41:10+02:00,70.1,62.0,40,-0.29,-0.1,17.375,98,94,100,95,100,99,552,2459,12376,11483,21600,43920,15420,5460,0,0,1.5,0,72,57,69,92,85,95,55,86,76
2022-12-16,86,100,50,97,99,60,78,100,33030,35340,2310,3330,22980,6720,43,93,390,17280,2022-12-15T21:54:32+02:00,2022-12-16T07:43:32+02:00,63.45,56.0,58,0,-0.05,17.375,95,67,100,100,100,100,723,2737,15161,14351,36540,23640,18720,7020,480,0,1.71875,0,87,93,73,97,82,100,100,88,88
2022-12-17,79,95,96,95,96,60,64,20,30780,33660,2880,7260,17820,5700,40,91,150,17100,2022-12-17T01:12:02+02:00,2022-12-17T10:33:02+02:00,77.41,58.0,34,-0.09,0.02,17.125,97,88,95,100,100,100,755,2718,14645,15244,26820,33660,18600,6720,600,0,1.6875,1,73,75,74,58,78,100,94,80,35
2022-12-19,70,69,67,57,79,53,72,97,22350,26280,3930,4800,14190,3360,47,85,1470,14160,2022-12-18T20:57:05+02:00,2022-12-19T04:15:05+02:00,78.33,62.0,25,-0.18,-0.04,17.25,99,93,100,100,100,100,1619,3703,27165,34509,24720,20460,22740,17520,960,0,2.3125,0,64,53,64,100,78,99,55,76,24
2022-12-20,84,100,99,100,97,60,78,22,42210,46020,3810,8490,24870,8850,38,92,390,23400,2022-12-19T23:10:39+02:00,2022-12-20T11:57:39+02:00,67.14,58.0,52,0.03,0.03,17.625,99,92,100,100,100,100,430,2317,7317,8802,25140,44340,12900,3960,60,0,1.40625,0,69,88,81,2,51,100,95,80,39
2022-12-21,88,100,96,96,100,65,91,51,34140,35760,1620,6570,21690,5880,47,95,690,18030,2022-12-20T23:36:00+02:00,2022-12-21T09:32:00+02:00,64.48,55.0,48,0.06,0.1,17.625,100,100,100,100,100,100,618,2517,13145,12609,15480,45840,16560,5580,420,2520,1.53125,0,82,98,86,100,52,100,97,81,42
2022-12-22,75,75,40,95,90,57,72,100,24570,27900,3330,2700,16890,4980,42,88,1500,14610,2022-12-21T20:35:01+02:00,2022-12-22T04:20:01+02:00,68.97,62.0,48,0.24,0.23,18,100,100,100,100,100,100,1672,3742,28681,35791,12780,22680,23340,18360,600,8640,2.3125,0,70,65,77,89,53,84,55,81,67
2022-12-23,70,58,43,73,95,62,89,100,20460,22860,2400,2850,14010,3600,44,90,1110,11790,2022-12-22T20:59:08+02:00,2022-12-23T03:20:08+02:00,71.61,65.0,35,0,0.22,17.375,97,87,100,100,100,100,1306,3368,23274,26773,27360,21060,22440,12720,1140,1680,2.09375,0,52,53,64,29,35,100,28,70,68
