,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score,cycle phases
32,80.0,77.0,75.0,100.0,76.0,78.0,70.0,89.0,26670.0,32520.0,5850.0,5550.0,9300.0,11820.0,21.0,82.0,240.0,14790.0,59.57,53.0,73.0,0.24,0.51,15.125,85.0,79.0,78.0,100.0,100.0,97.0,407.0,2076.0,10481.0,9582.0,31080.0,33720.0,14640.0,4320.0,60.0,2580.0,1.46875,2.0,74.0,69.0,80.0,85.0,66.0,84.0,60.0,63.0,100.0,LP
33,81.0,74.0,53.0,100.0,98.0,84.0,78.0,100.0,25890.0,27960.0,2070.0,3990.0,8730.0,13170.0,24.0,93.0,420.0,14040.0,57.93,53.0,81.0,0.29,0.44,15.25,82.0,68.0,95.0,100.0,100.0,96.0,241.0,1942.0,6230.0,4964.0,36360.0,27840.0,17520.0,780.0,120.0,3780.0,1.375,1.0,74.0,72.0,77.0,81.0,65.0,81.0,61.0,70.0,100.0,LP
34,87.0,81.0,97.0,100.0,83.0,89.0,75.0,100.0,27780.0,32820.0,5040.0,7770.0,8760.0,11250.0,17.0,85.0,390.0,15000.0,58.07,52.0,71.0,0.48,0.52,14.875,92.0,61.0,100.0,95.0,100.0,96.0,268.0,1951.0,5340.0,5657.0,40020.0,30360.0,12840.0,1740.0,0.0,1440.0,1.375,0.0,75.0,87.0,78.0,89.0,72.0,64.0,70.0,71.0,100.0,LP
35,89.0,85.0,98.0,100.0,97.0,73.0,89.0,99.0,28800.0,31320.0,2520.0,8040.0,10350.0,10410.0,25.0,92.0,660.0,15660.0,57.06,52.0,73.0,0.21,0.51,15.0,93.0,67.0,95.0,95.0,100.0,98.0,537.0,2223.0,13540.0,12596.0,37080.0,29520.0,10680.0,7260.0,60.0,1800.0,1.59375,1.0,81.0,92.0,80.0,84.0,76.0,88.0,71.0,73.0,100.0,LP
36,87.0,85.0,88.0,100.0,88.0,76.0,86.0,92.0,28830.0,33060.0,4230.0,6600.0,9420.0,12810.0,24.0,87.0,600.0,15750.0,59.59,51.0,68.0,0.39,0.52,14.875,97.0,93.0,100.0,95.0,100.0,97.0,392.0,2102.0,10315.0,8901.0,22800.0,31740.0,23100.0,2700.0,0.0,6060.0,1.5,0.0,78.0,87.0,82.0,67.0,69.0,72.0,80.0,71.0,83.0,LP
37,84.0,71.0,77.0,100.0,93.0,84.0,91.0,100.0,25290.0,28260.0,2970.0,5730.0,7890.0,11670.0,17.0,89.0,1080.0,13800.0,53.39,46.0,89.0,-0.04,0.38,14.25,94.0,79.0,95.0,95.0,96.0,97.0,361.0,2077.0,9524.0,8012.0,31200.0,28680.0,20280.0,2640.0,60.0,3540.0,1.46875,1.0,77.0,79.0,78.0,94.0,69.0,100.0,98.0,79.0,28.0,LP
38,89.0,96.0,97.0,100.0,83.0,87.0,70.0,71.0,31710.0,37200.0,5490.0,7920.0,12030.0,11760.0,22.0,85.0,270.0,17550.0,53.47,45.0,90.0,-0.21,0.17,14.875,86.0,75.0,100.0,78.0,96.0,97.0,293.0,1933.0,7948.0,6615.0,32160.0,32160.0,7800.0,3540.0,0.0,10740.0,1.375,0.0,83.0,92.0,84.0,87.0,70.0,98.0,94.0,85.0,60.0,M
39,86.0,85.0,84.0,100.0,72.0,89.0,97.0,74.0,28770.0,36060.0,7290.0,6210.0,10740.0,11820.0,20.0,80.0,960.0,16260.0,54.6,49.0,80.0,-0.25,0.0,14.5,80.0,75.0,60.0,78.0,96.0,98.0,461.0,2167.0,12432.0,11101.0,28920.0,36660.0,16500.0,4260.0,60.0,0.0,1.53125,3.0,88.0,84.0,85.0,90.0,75.0,96.0,95.0,86.0,100.0,M
40,90.0,92.0,88.0,100.0,93.0,90.0,81.0,86.0,30750.0,34380.0,3630.0,6540.0,11610.0,12600.0,19.0,89.0,480.0,16320.0,53.02,46.0,83.0,-0.45,-0.11,13.625,80.0,70.0,100.0,78.0,96.0,97.0,244.0,1875.0,6184.0,5578.0,32760.0,41100.0,8880.0,2580.0,0.0,1080.0,1.3125,0.0,89.0,94.0,88.0,80.0,69.0,90.0,99.0,87.0,100.0,M
41,98.0,100.0,100.0,100.0,100.0,91.0,97.0,100.0,34110.0,36060.0,1950.0,9090.0,14670.0,10350.0,20.0,95.0,930.0,18480.0,51.89,46.0,82.0,-0.27,-0.12,14.125,91.0,86.0,100.0,78.0,96.0,97.0,337.0,2040.0,8125.0,7510.0,28140.0,32820.0,18840.0,2220.0,60.0,4320.0,1.4375,0.0,94.0,100.0,96.0,93.0,74.0,96.0,99.0,88.0,100.0,M
